"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "XML", "CSS", "JavaScript", "JSON with Comments", "Properties", "Markdown", "HTML", "YAML", "SQL", "comment", "blank", "total"
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Products/AllProducts.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Products/CartProduct.tsx", "TypeScript JSX", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 101
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Products/ProductCard.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Products/Products.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Tags.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/ui/Buttons/AddButton.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/ui/Buttons/Button.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/ui/Buttons/SearchButton.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/ui/Modals/AcountDetails.tsx", "TypeScript JSX", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 69
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/ui/Modals/AddProduct.tsx", "TypeScript JSX", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 114
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/ui/Modals/LoginForm.tsx", "TypeScript JSX", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 78
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/utils/FormatPrice.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/utils/NormaliseString.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/contexts/AuthContext.tsx", "TypeScript JSX", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 84
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/contexts/CartContext.tsx", "TypeScript JSX", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 72
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/contexts/ModalContext.tsx", "TypeScript JSX", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 72
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/contexts/ProductContext.tsx", "TypeScript JSX", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 72
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/data/categories.json", "JSON", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/data/products.json", "JSON", 0, 0, 527, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 529
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/data/tags.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/index.css", "CSS", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 24, 107
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/main.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/pages/CartPage.tsx", "TypeScript JSX", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 86
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/pages/CategoryPage.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/pages/Home.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/pages/ProductPage.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 52
